ID,OpenCriticTitle,SteamTitle,SteamURL,SteamReviewsRating,SteamReviewsNum,SteamReviewsPercent,SteamReleaseDate,SteamDeveloper(s),SteamPublisher(s),SteamTags,SteamDLC,SteamDelisted
100001,The Journey Down: Chapter One,The Journey Down: Chapter One,https://store.steampowered.com/app/220090/,Very Positive,709,86,9/1/2013,SkyGoblin,SkyGoblin,"Adventure, Point & Click, 2.5D, 3D, Colorful, Noir, Realistic, Atmospheric, Dark, Dark Fantasy, Dynamic Narration, Fantasy, Surreal, Linear, Narration, Episodic, Indie, Comedy, Dark Comedy, Mouse only",FALSE,FALSE
100002,Kentucky Route Zero,Kentucky Route Zero,https://store.steampowered.com/app/231200/,Very Positive*,2345,82,22/2/2013,Cardboard Computer,Cardboard Computer,"Adventure, Experimental, Exploration, Point & Click, Visual Novel, Walking Simulator, Side Scroller, 2D, Stylized, Atmospheric, Mystery, Surreal, Story Rich, Singleplayer, Episodic, Indie, Soundtrack, Beautiful, Great Soundtrack, Kickstarter",FALSE,FALSE
100003,The Bridge,The Bridge,https://store.steampowered.com/app/204240/,Very Positive*,1226,85,22/2/2013,"Ty Taylor, Vega Castañeda",The Quantum Astrophysicists Guild,"Adventure, Casual, Puzzle, Strategy, Platformer, 2D, Abstract, Hand-drawn, Stylized, Atmospheric, Dark, Logic, Philosophical, Surreal, Physics, Singleplayer, Indie, Difficult, Emotional",FALSE,FALSE
100004,Tomb Raider,Tomb Raider,https://store.steampowered.com/app/203160/,Very Positive,47930,94,4/3/2013,"Crystal Dynamics, Eidos-Montréal, Feral Interactive, Nixxes","Crystal Dynamics, Feral Interactive","Action, Adventure, Puzzle, RPG, Action-Adventure, Exploration, Platformer, Shooter, Stealth, Third-Person Shooter, 3D, 3D Vision, Cinematic, Third Person, Atmospheric, Quick-Time Events, Story Rich, Female Protagonist, Multiplayer, Singleplayer",FALSE,FALSE
100005,Ultratron,Ultratron,https://store.steampowered.com/app/219190/,Very Positive,515,87,18/3/2013,Puppygames,Puppygames,"Action, Arcade, Shooter, Bullet Hell, Shoot 'Em Up, Twin Stick Shooter, 2D, Pixel Graphics, Retro, Robots, Sci-fi, Local Co-Op, Singleplayer, Indie, Difficult",FALSE,FALSE
100007,Anodyne,Anodyne,https://store.steampowered.com/app/234900/,Very Positive,943,86,22/3/2013,"Melos Han-Tani, Marina Kittaka",Analgesic Productions,"Action, Adventure, Puzzle, RPG, Action RPG, Action-Adventure, Exploration, Dungeon Crawler, 2D, Pixel Graphics, Top-Down, Atmospheric, Dark, Retro, Surreal, Combat, Singleplayer, Indie, Soundtrack, Great Soundtrack, Psychological",FALSE,FALSE
100008,Warframe,Warframe,https://store.steampowered.com/app/230410/,Very Positive*,274595,91,25/3/2013,Digital Extremes,Digital Extremes,"Action, RPG, Action RPG, Shooter, Hack and Slash, Looter Shooter, Third-Person Shooter, Third Person, Loot, Ninja, Parkour, Sci-fi, Space, Character Customization, PvE, Co-op, Massively Multiplayer, Multiplayer, Online Co-Op, Singleplayer, Lore-Rich, Free to Play",FALSE,FALSE
100009,Another World: 20th Anniversary Edition,Another World,https://store.steampowered.com/app/233550/,Very Positive,1570,84,4/4/2013,"Eric Chahi, DotEmu",The Digital Lounge,"Action, Adventure, Puzzle, Platformer, 2D Platformer, 2D, Cinematic, 1990's, Aliens, Atmospheric, Old School, Retro, Sci-fi, Singleplayer, Remake, Classic, Cult Classic, Difficult, Controller",FALSE,FALSE
100010,Fez,FEZ,https://store.steampowered.com/app/224760/,Very Positive*,6080,91,1/5/2013,Polytron Corporation,Trapdoor,"Adventure, Casual, Puzzle, Exploration, Platformer, Metroidvania, 2.5D, 2D, Cute, Pixel Graphics, Atmospheric, Mystery, Retro, Singleplayer, Indie, Soundtrack, Beautiful, Great Soundtrack, Relaxing, Controller",FALSE,FALSE
100011,Anomaly 2,Anomaly 2,https://store.steampowered.com/app/236730/,Mostly Positive,418,77,15/5/2013,11 bit studios,11 bit studios,"Action, Strategy, RTS, Tower Defense, Top-Down, Sci-fi, Tactical, Multiplayer, Singleplayer, Indie, Touch-Friendly",FALSE,FALSE
