id,title,steamAppId,steamUrl,opencriticScore,hltbMain,hltbExtra,hltbCompletionist,releaseDate,genres,platforms,studio,steamReviewScore,steamReviewCount,steamReviewPercent,isDlc
100001,The Journey Down: Chapter One,220090,https://store.steampowered.com/app/220090/,75,,,,2013-01-09T00:00:00.000Z,"[""Comedy"", ""Dark"", ""Narration"", ""Adventure"", ""Fantasy"", ""Indie"", ""2.5D"", ""Noir"", ""Episodic"", ""Dark Comedy"", ""Surreal"", ""Colorful"", ""Atmospheric"", ""Point & Click"", ""Mouse only"", ""Realistic"", ""Dark Fantasy"", ""3D"", ""Dynamic Narration"", ""Linear""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Nintendo Switch""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",SkyGoblin,Very Positive,709.0,86.0,False
100002,Kentucky Route Zero,231200,https://store.steampowered.com/app/231200/,89,529.0,684.0,837.0,2013-02-22T00:00:00.000Z,"[""Kickstarter"", ""Beautiful"", ""Stylized"", ""Side Scroller"", ""Adventure"", ""Indie"", ""Walking Simulator"", ""Episodic"", ""Interactive Story"", ""Surreal"", ""Atmospheric"", ""Experimental"", ""Point & Click"", ""2D"", ""Mystery"", ""Visual Novel"", ""Singleplayer"", ""Story Rich"", ""Great Soundtrack"", ""Soundtrack"", ""Exploration""]","[{""name"": ""PC""}]",Cardboard Computer,Very Positive*,2345.0,82.0,False
100003,The Bridge,204240,https://store.steampowered.com/app/204240/,73,214.0,354.0,468.0,2013-02-22T00:00:00.000Z,"[""Emotional"", ""Dark"", ""Stylized"", ""Difficult"", ""Adventure"", ""Indie"", ""Puzzle"", ""Physics"", ""Logic"", ""Surreal"", ""Strategy"", ""Atmospheric"", ""Platformer"", ""2D"", ""Casual"", ""Singleplayer"", ""Abstract"", ""Hand-drawn"", ""Philosophical""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Nintendo Switch""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Ty Taylor, Vega Castañeda",Very Positive*,1226.0,85.0,False
100004,Tomb Raider,203160,https://store.steampowered.com/app/203160/,85,,,,2013-03-04T00:00:00.000Z,"[""Action"", ""Third Person"", ""Adventure"", ""Puzzle"", ""Multiplayer"", ""Quick-Time Events"", ""RPG"", ""3D Vision"", ""Platformer"", ""Shooter"", ""Atmospheric"", ""Singleplayer"", ""3D"", ""Story Rich"", ""Stealth"", ""Cinematic"", ""Third-Person Shooter"", ""Action-Adventure"", ""Exploration"", ""Female Protagonist""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Google Stadia""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}, {""name"": ""PC""}]","Crystal Dynamics, Eidos-Montréal, Feral Interactive, Nixxes",Very Positive,47930.0,94.0,False
100005,Ultratron,219190,https://store.steampowered.com/app/219190/,71,141.0,322.0,315.0,2013-03-18T00:00:00.000Z,"[""Action"", ""Shoot 'Em Up"", ""Bullet Hell"", ""Shooter"", ""Retro"", ""Sci-fi"", ""2D"", ""Difficult"", ""Twin Stick Shooter"", ""Indie"", ""Arcade"", ""Robots"", ""Singleplayer"", ""Local Co-Op"", ""Pixel Graphics""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Wii U""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Puppygames,Very Positive,515.0,87.0,False
100006,ZEN Pinball 2,,,84,79.0,,,2013-03-21T00:00:00.000Z,"[""Arcade""]","[{""name"": ""PlayStation 4""}, {""name"": ""Wii U""}, {""name"": ""PlayStation 5""}]",Zen Studios,,,,False
100007,Anodyne,234900,https://store.steampowered.com/app/234900/,69,367.0,418.0,577.0,2013-03-22T00:00:00.000Z,"[""Action"", ""Dark"", ""Retro"", ""Adventure"", ""Indie"", ""Puzzle"", ""Psychological"", ""Pixel Graphics"", ""RPG"", ""Dungeon Crawler"", ""Surreal"", ""Atmospheric"", ""2D"", ""Singleplayer"", ""Action RPG"", ""Combat"", ""Great Soundtrack"", ""Top-Down"", ""Soundtrack"", ""Action-Adventure"", ""Exploration""]","[{""name"": ""PC""}, {""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Melos Han-Tani, Marina Kittaka",Very Positive,943.0,86.0,False
100008,Warframe,230410,https://store.steampowered.com/app/230410/,74,7635.0,48079.0,95409.0,2013-03-25T00:00:00.000Z,"[""Action"", ""Third Person"", ""Sci-fi"", ""Character Customization"", ""Loot"", ""Multiplayer"", ""Space"", ""RPG"", ""Hack and Slash"", ""Free to Play"", ""Shooter"", ""PvE"", ""Lore-Rich"", ""Co-op"", ""Online Co-Op"", ""Singleplayer"", ""Action RPG"", ""Looter Shooter"", ""Parkour"", ""Third-Person Shooter"", ""Massively Multiplayer"", ""Ninja""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Digital Extremes,Very Positive*,274595.0,91.0,False
100009,Another World,233550,https://store.steampowered.com/app/233550/,73,139.0,163.0,157.0,2013-04-04T00:00:00.000Z,"[""1990's"", ""Action"", ""Retro"", ""Sci-fi"", ""Difficult"", ""Adventure"", ""Old School"", ""Puzzle"", ""Controller"", ""Remake"", ""2D Platformer"", ""Atmospheric"", ""Platformer"", ""2D"", ""Singleplayer"", ""Cult Classic"", ""Aliens"", ""Cinematic"", ""Classic""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Wii U""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Eric Chahi, DotEmu",Very Positive,1570.0,84.0,False
100010,FEZ,224760,https://store.steampowered.com/app/224760/,88,357.0,514.0,727.0,2013-05-01T00:00:00.000Z,"[""Beautiful"", ""Retro"", ""Adventure"", ""Indie"", ""2.5D"", ""Puzzle"", ""Controller"", ""Pixel Graphics"", ""Cute"", ""Relaxing"", ""Metroidvania"", ""Atmospheric"", ""Platformer"", ""2D"", ""Mystery"", ""Casual"", ""Singleplayer"", ""Great Soundtrack"", ""Soundtrack"", ""Exploration""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Polytron Corporation,Very Positive*,6080.0,91.0,False
