=== RAPPORT ANALYSE V24 FINAL (Optimized) ===

Global MAE: 6.63h
Global Precision: 33.96%

     Genre       MAE  Precision  Count
 SoulsLike 12.993228  50.639208      4
   Shooter  4.408098  46.226345     93
Platformer  3.091314  38.813981     20
  Strategy 10.161679  25.230831    139
       RPG  8.823553  24.602401    173
   3D Plat  4.388828  18.635434     10
      JRPG 12.452270   0.000000     30

Title                          | Act    | Pred   | Diff   | St | JRPG | Sls
--------------------------------------------------------------------------------
Tom Clancy's Rainbow Six Siege | 3.6    | 28.8   | +25.1  | ❌ |        | 
Black Myth: Wukong             | 38.6   | 30.6   | -8.0   | ⚠️ |        | 
Elden Ring                     | 59.7   | 35.7   | -24.0  | ❌ |        | YES
Cyberpunk 2077                 | 26.8   | 26.8   | -0.0   | ✅ |        | 
Red Dead Redemption 2          | 51.2   | 35.5   | -15.7  | ❌ |        | 
Baldur's Gate 3                | 74.0   | 50.7   | -23.4  | ❌ |        | 
Phasmophobia                   | 23.1   | 18.9   | -4.2   | ⚠️ |        | 
The Forest                     | 16.3   | 22.9   | +6.7   | ❌ | YES    | 
Warframe                       | 127.2  | 37.0   | -90.2  | ❌ |        | 
Hollow Knight                  | 28.3   | 15.9   | -12.4  | ❌ |        | 
Monster Hunter World           | 46.9   | 46.2   | -0.7   | ✅ |        | 
Dark Souls III: The Fire Fades | 33.8   | 37.0   | +3.2   | ✅ |        | 
Dark Souls III                 | 32.2   | 33.8   | +1.6   | ✅ |        | YES
Brawlhalla                     | 61.4   | 18.7   | -42.7  | ❌ |        | 
Deep Rock Galactic             | 48.9   | 16.5   | -32.5  | ❌ |        | 
Hogwarts Legacy                | 27.4   | 28.2   | +0.8   | ✅ |        | 
Hearts of Iron IV              | 53.2   | 37.0   | -16.2  | ❌ |        | 
Sekiro: Shadows Die Twice      | 30.3   | 19.6   | -10.7  | ❌ |        | 
Risk of Rain 2                 | 11.4   | 17.3   | +5.9   | ❌ |        | 
Subnautica                     | 30.5   | 17.0   | -13.5  | ❌ |        | 
Undertale                      | 7.2    | 26.3   | +19.1  | ❌ |        | 
Ready or Not                   | 17.2   | 18.9   | +1.7   | ✅ |        | 
Monster Hunter Wilds           | 18.4   | 34.2   | +15.8  | ❌ |        | 
Hades                          | 24.3   | 24.4   | +0.1   | ✅ |        | 
Sons of the Forest             | 16.3   | 17.5   | +1.2   | ✅ |        | 
Mount & Blade II: Bannerlord   | 52.6   | 40.1   | -12.5  | ⚠️ |        | 
Vampire Survivors              | 16.4   | 19.5   | +3.2   | ⚠️ |        | 
It Takes Two                   | 12.9   | 16.9   | +4.1   | ❌ |        | 
Clair Obscur: Expedition 33    | 28.4   | 28.4   | -0.0   | ✅ | YES    | YES
RimWorld                       | 65.4   | 23.9   | -41.5  | ❌ |        | 
Call of Duty: Black Ops III    | 9.1    | 16.5   | +7.5   | ❌ |        | 
Doki Doki Literature Club      | 4.4    | 19.0   | +14.6  | ❌ |        | 
Doom Eternal                   | 14.6   | 14.6   | -0.0   | ✅ |        | 
Dying Light 2: Stay Human      | 24.6   | 30.6   | +6.0   | ⚠️ |        | 
Lost Ark                       | 56.2   | 34.7   | -21.5  | ❌ |        | 
Path of Exile 2                | 36.0   | 32.3   | -3.7   | ⚠️ |        | 
Slay The Spire                 | 13.2   | 24.6   | +11.4  | ❌ |        | 
Far Cry 5                      | 18.4   | 19.0   | +0.6   | ✅ |        | 
Assassin's Creed Odyssey       | 46.1   | 18.6   | -27.4  | ❌ |        | 
Balatro                        | 8.2    | 14.8   | +6.6   | ❌ |        | 
Dead Cells                     | 15.1   | 13.2   | -1.8   | ⚠️ |        | 
Kingdom Come: Deliverance      | 42.7   | 34.0   | -8.6   | ⚠️ |        | 
Age of Empires II: Definitive  | 45.9   | 32.7   | -13.2  | ❌ |        | 
Elden Ring: Nightreign         | 29.8   | 31.2   | +1.4   | ✅ |        | 
Stray                          | 5.2    | 28.6   | +23.4  | ❌ |        | 
Star Wars Jedi: Fallen Order   | 17.5   | 16.5   | -1.0   | ✅ |        | 
Borderlands 3                  | 23.8   | 26.7   | +2.9   | ⚠️ |        | 
Kingdom Come: Deliverance II   | 54.5   | 29.7   | -24.9  | ❌ |        | 
The Elder Scrolls Online: Morr | 7.3    | 21.9   | +14.6  | ❌ |        | 
The Elder Scrolls Online: Murk | 3.0    | 17.5   | +14.5  | ❌ |        | 
Devil May Cry 5                | 11.3   | 12.9   | +1.6   | ⚠️ |        | 
For Honor                      | 7.1    | 15.6   | +8.5   | ❌ |        | 
Darkest Dungeon                | 56.7   | 27.8   | -28.9  | ❌ |        | 
Batman: Arkham Knight          | 17.3   | 11.5   | -5.8   | ❌ |        | 
